theta,epsilon,epsilon_inverse,V_standard,Vstar_delta,Vstar_rho,shot_coefficient,R_opt_at_x_fixed
7.504565922492224816e-02,6.140446576499114517e-02,1.628546047167363042e+01,1.990620931996455623e+00,8.372689751013684401e-03,1.079313082480739816e-01,1.882689623748381669e+00,4.741948850776734616e+03
7.358069677183209922e-02,5.910169609094750864e-02,1.691998819223680428e+01,1.990889452271964011e+00,8.054655133486025159e-03,1.079562791648442377e-01,1.882933173107119718e+00,4.834972164722453272e+03
7.214604590825522690e-02,5.688528479100929403e-02,1.757923870248514220e+01,1.991137886147309910e+00,7.748801673466303164e-03,1.079803228682646998e-01,1.883157563279045155e+00,4.929763178717860683e+03
7.074098390542434001e-02,5.475200098189292319e-02,1.826417267070678818e+01,1.991367723265601075e+00,7.454657087487920504e-03,1.080034762762399070e-01,1.883364246989361224e+00,5.026356931366734898e+03
6.936479428253357338e-02,5.269870938201326460e-02,1.897579678376929380e+01,1.991580345871115210e+00,7.171764399317458183e-03,1.080257748558312997e-01,1.883554571015283896e+00,5.124790268098907291e+03
6.801679864704986145e-02,5.072241581228420504e-02,1.971514928825245505e+01,1.991777031527586228e+00,6.899688054944683527e-03,1.080472521826482402e-01,1.883729779344937905e+00,5.225099604544911017e+03
6.669634241727891155e-02,4.882024182125255241e-02,2.048330697871876183e+01,1.991958963098928947e+00,6.638010271515005535e-03,1.080679402633163561e-01,1.883891022835612494e+00,5.327321761626351872e+03
6.540278614021463599e-02,4.698940931468198468e-02,2.128139115993413810e+01,1.992127236774107857e+00,6.386328785550413056e-03,1.080878697447253955e-01,1.884039367029382461e+00,5.431494571918319707e+03
6.413549841940011098e-02,4.522722864195327652e-02,2.211057431611869717e+01,1.992282869051130278e+00,6.144255092614397430e-03,1.081070700816426922e-01,1.884175798969487614e+00,5.537657501580592907e+03
6.289387986957650778e-02,4.353112964294725273e-02,2.297206638564722425e+01,1.992426799542039717e+00,5.911418596015011531e-03,1.081255692319907091e-01,1.884301230310049036e+00,5.645849656409835006e+03
6.167735433183590965e-02,4.189864561278022759e-02,2.386711993609103288e+01,1.992559897825689097e+00,5.687464287882236860e-03,1.081433938603754419e-01,1.884416503965313572e+00,5.756110311189689128e+03
6.048534313386667166e-02,4.032737640216221831e-02,2.479705076838034472e+01,1.992682971236503509e+00,5.472047586014120758e-03,1.081605697672174682e-01,1.884522401469286068e+00,5.868481224325189942e+03
5.931729628100829155e-02,3.881502816114057453e-02,2.576321717064072203e+01,1.992796766018327892e+00,5.264839693226862523e-03,1.081771214781759305e-01,1.884619644540151961e+00,5.983003829524961475e+03
5.817268524565689936e-02,3.735940028694562098e-02,2.676702496076809012e+01,1.992901972677205036e+00,5.065525714237227063e-03,1.081930724063969451e-01,1.884708900270808174e+00,6.099719702880238401e+03
5.705098948492860061e-02,3.595836563917931272e-02,2.780994025241307455e+01,1.992999231284181327e+00,4.873801863248044750e-03,1.082084450869860437e-01,1.884790786197195311e+00,6.218671847974909724e+03
5.595169193413747355e-02,3.460986348532413270e-02,2.889349738186737326e+01,1.993089135374811249e+00,4.689374426124958729e-03,1.082232612707920982e-01,1.884865874104019179e+00,6.339905294410600618e+03
5.487431116111694124e-02,3.331193676488153343e-02,3.001926928050099619e+01,1.993172232751096562e+00,4.511964785726037437e-03,1.082375415287515075e-01,1.884934691222345027e+00,6.463463535150805910e+03
5.381837135082948032e-02,3.206269227665026200e-02,3.118889678295208512e+01,1.993249031297215090e+00,4.341303907263973499e-03,1.082513057006076335e-01,1.884997725596607498e+00,6.589391642008050439e+03
5.278338760675852642e-02,3.086028242395832955e-02,3.240411044403312246e+01,1.993320002744245478e+00,4.177129788063982038e-03,1.082645731074823592e-01,1.885055429636763202e+00,6.717738246994622386e+03
5.176892566288868874e-02,2.970297287900702798e-02,3.366666374013906449e+01,1.993385581249630389e+00,4.019196640019330989e-03,1.082773618145134314e-01,1.885108219435116972e+00,6.848548192470546383e+03
5.077453413633641055e-02,2.858906134901928464e-02,3.497841316970358605e+01,1.993446170683653929e+00,3.867263742401323701e-03,1.082896895344125504e-01,1.885156481149241392e+00,6.981870786325875997e+03
4.979979282560582227e-02,2.751693120004572446e-02,3.634126177552598591e+01,1.993502143765168544e+00,3.721102711763327100e-03,1.083015730418881994e-01,1.885200570723280400e+00,7.117753644467821687e+03
4.884426727548607516e-02,2.648499892010025558e-02,3.775722260804285924e+01,1.993553846972241583e+00,3.580490290341751917e-03,1.083130287608335407e-01,1.885240818211407987e+00,7.256248828748424785e+03
4.790755300595950228e-02,2.549176120553608982e-02,3.922836056469994759e+01,1.993601599978887862e+00,3.445214722738427528e-03,1.083240722473207407e-01,1.885277527731567204e+00,7.397406731807395772e+03
4.698926703407367567e-02,2.453578250196808419e-02,4.075680080387846260e+01,1.993645698232774155e+00,3.315074012264161794e-03,1.083347183302911104e-01,1.885310979902482975e+00,7.541276839158454095e+03
4.608900662575629581e-02,2.361565043349866944e-02,4.234480023389512837e+01,1.993686416650834570e+00,3.189869815898119590e-03,1.083449816111043129e-01,1.885341435039730174e+00,7.687914178934863230e+03
4.520639288192549593e-02,2.273002022557291113e-02,4.399468148624557529e+01,1.993724009027428412e+00,3.069413458799883070e-03,1.083548759719991789e-01,1.885369133055429192e+00,7.837372699550374819e+03
4.434107468960157838e-02,2.187761557324952033e-02,4.570882035347274552e+01,1.993758709568693721e+00,2.953526014377496744e-03,1.083644145668281183e-01,1.885394295001865617e+00,7.989704075118864239e+03
4.349266648720007122e-02,2.105716576475624713e-02,4.748977194612380970e+01,1.993790736767088845e+00,2.842029725160456679e-03,1.083736105260508370e-01,1.885417126241037966e+00,8.144968627841103626e+03
4.266083649920374837e-02,2.026749099767466422e-02,4.934009839277749165e+01,1.993820291151730206e+00,2.734759572849512852e-03,1.083824760029406253e-01,1.885437815148789609e+00,8.303219731749532002e+03
4.184522140544488789e-02,1.950741813394929469e-02,5.126255013007962447e+01,1.993847559733786134e+00,2.631551801887000146e-03,1.083910231181683947e-01,1.885456536615617740e+00,8.464519328449061504e+03
4.104551581411103323e-02,1.877586379654005988e-02,5.325986654122810648e+01,1.993872713971039046e+00,2.532255181182180986e-03,1.083992630267641283e-01,1.885473450944274987e+00,8.628920675033205043e+03
4.026137293595981326e-02,1.807174040313508367e-02,5.533501354559741969e+01,1.993895914110705103e+00,2.436718221147986686e-03,1.084072069747200745e-01,1.885488707135984932e+00,8.796487955454560506e+03
